id,first_name,last_name,year,email,gender,department,quiz_score,lesson_score
1,Paul,Casey,2,paul.casey.1@gslingacademy.com,male,Computer Science,87,54
2,Danielle,Sandoval,3,danielle.sandoval.2@gslingacademy.com,female,Computer Science,53,93
3,Tina,Andrews,4,tina.andrews.3@gslingacademy.com,female,Computer Science,92,15
4,Tara,Clark,1,tara.clark.4@gslingacademy.com,female,Computer Science,41,38
5,Anthony,Campos,4,anthony.campos.5@gslingacademy.com,male,Information Technology,24,2
6,Kelly,Wade,1,kelly.wade.6@gslingacademy.com,female,Information Technology,19,9
7,Anthony,Smith,3,anthony.smith.7@gslingacademy.com,male,Computer Science,92,15
8,George,Short,4,george.short.8@gslingacademy.com,male,Information Technology,65,15
9,Stanley,Gutierrez,2,stanley.gutierrez.9@gslingacademy.com,male,Computer Science,72,13
10,Audrey,Simpson,3,audrey.simpson.10@gslingacademy.com,female,Computer Science,98,44
11,Gabrielle,White,4,gabrielle.white.11@gslingacademy.com,female,Information Technology,41,16
12,Clinton,Randolph,3,clinton.randolph.12@gslingacademy.com,male,Computer Science,30,31
13,Patricia,Gomez,3,patricia.gomez.13@gslingacademy.com,female,Computer Science,98,100
14,Pamela,Jackson,4,pamela.jackson.14@gslingacademy.com,female,Computer Science,65,4
15,Laura,Jackson,2,laura.jackson.15@gslingacademy.com,female,Information Technology,23,76
16,Roger,Wiley,3,roger.wiley.16@gslingacademy.com,male,Computer Science,47,5
17,Vicki,Thompson,4,vicki.thompson.17@gslingacademy.com,female,Information Technology,19,21
18,Maxwell,Davidson,1,maxwell.davidson.18@gslingacademy.com,male,Information Technology,86,81
19,Jonathan,Werner,4,jonathan.werner.19@gslingacademy.com,male,Information Technology,30,20
20,Angela,Rios,2,angela.rios.20@gslingacademy.com,female,Information Technology,5,11
21,Tim,Nichols,2,tim.nichols.21@gslingacademy.com,male,Information Technology,37,70
22,Kyle,Willis,4,kyle.willis.22@gslingacademy.com,male,Information Technology,57,44
23,Shannon,Simpson,2,shannon.simpson.23@gslingacademy.com,female,Computer Science,32,81
24,Sean,Griffin,3,sean.griffin.24@gslingacademy.com,male,Information Technology,100,53
25,Cassandra,West,3,cassandra.west.25@gslingacademy.com,female,Information Technology,62,48
26,Patricia,Chavez,2,patricia.chavez.26@gslingacademy.com,female,Information Technology,10,43
27,Jason,Williams,1,jason.williams.27@gslingacademy.com,male,Information Technology,8,51
28,Peter,Gibbs,4,peter.gibbs.28@gslingacademy.com,male,Information Technology,100,3
29,Jeffrey,Blanchard,2,jeffrey.blanchard.29@gslingacademy.com,male,Information Technology,86,57
30,Carol,Hill,2,carol.hill.30@gslingacademy.com,female,Computer Science,8,58
31,Angie,Miller,4,angie.miller.31@gslingacademy.com,female,Information Technology,80,68
32,Cynthia,Knapp,4,cynthia.knapp.32@gslingacademy.com,female,Computer Science,21,60
33,Timothy,Bryant,4,timothy.bryant.33@gslingacademy.com,male,Computer Science,33,39
34,Phyllis,Diaz,1,phyllis.diaz.34@gslingacademy.com,female,Information Technology,71,74
35,Lisa,Burns,2,lisa.burns.35@gslingacademy.com,female,Information Technology,13,43
36,Kelly,Farley,1,kelly.farley.36@gslingacademy.com,female,Computer Science,81,86
37,Ryan,Lee,2,ryan.lee.37@gslingacademy.com,male,Information Technology,88,72
38,Michael,Gilmore,1,michael.gilmore.38@gslingacademy.com,male,Computer Science,69,12
39,Miguel,Martinez,3,miguel.martinez.39@gslingacademy.com,male,Computer Science,23,34
40,Christopher,Taylor,1,christopher.taylor.40@gslingacademy.com,male,Computer Science,72,53
41,Emily,Holloway,4,emily.holloway.41@gslingacademy.com,female,Information Technology,44,63
42,Jesus,Rasmussen,1,jesus.rasmussen.42@gslingacademy.com,male,Computer Science,73,99
43,Lauren,Farmer,1,lauren.farmer.43@gslingacademy.com,female,Computer Science,80,32
44,Pamela,Cole,1,pamela.cole.44@gslingacademy.com,female,Information Technology,9,41
45,David,Gillespie,1,david.gillespie.45@gslingacademy.com,male,Information Technology,86,89
46,Kenneth,Davis,3,kenneth.davis.46@gslingacademy.com,male,Computer Science,89,73
47,Elizabeth,Martin,3,elizabeth.martin.47@gslingacademy.com,female,Computer Science,23,40
48,Billy,Soto,2,billy.soto.48@gslingacademy.com,male,Information Technology,67,92
49,Kimberly,Kelly,3,kimberly.kelly.49@gslingacademy.com,female,Computer Science,67,96
50,Sonia,Noble,4,sonia.noble.50@gslingacademy.com,female,Computer Science,100,1
51,Christopher,Stewart,3,christopher.stewart.51@gslingacademy.com,male,Information Technology,96,44
52,Sandra,Thornton,2,sandra.thornton.52@gslingacademy.com,female,Computer Science,73,19
53,Luke,Shannon,3,luke.shannon.53@gslingacademy.com,male,Information Technology,49,50
54,Lindsay,Pruitt,1,lindsay.pruitt.54@gslingacademy.com,female,Computer Science,34,6
55,Jamie,Taylor,1,jamie.taylor.55@gslingacademy.com,male,Computer Science,94,88
56,Jennifer,Murphy,4,jennifer.murphy.56@gslingacademy.com,female,Information Technology,87,37
57,Melissa,Lee,4,melissa.lee.57@gslingacademy.com,female,Computer Science,20,77
58,David,Vaughn,1,david.vaughn.58@gslingacademy.com,male,Information Technology,57,16
59,Jacob,Hanson,2,jacob.hanson.59@gslingacademy.com,male,Information Technology,99,77
60,Casey,May,2,casey.may.60@gslingacademy.com,male,Information Technology,46,85
61,Michelle,Roman,1,michelle.roman.61@gslingacademy.com,female,Computer Science,77,36
62,Brittany,Koch,4,brittany.koch.62@gslingacademy.com,female,Computer Science,56,14
63,Brian,Lewis,2,brian.lewis.63@gslingacademy.com,male,Information Technology,61,79
64,Veronica,Cameron,3,veronica.cameron.64@gslingacademy.com,female,Computer Science,11,17
65,Eric,Reyes,4,eric.reyes.65@gslingacademy.com,male,Computer Science,75,46
66,Kristy,Weber,1,kristy.weber.66@gslingacademy.com,female,Computer Science,75,31
67,Anthony,Smith,2,anthony.smith.67@gslingacademy.com,male,Information Technology,60,52
68,Steven,Stephens,4,steven.stephens.68@gslingacademy.com,male,Computer Science,6,49
69,Henry,Davis,2,henry.davis.69@gslingacademy.com,male,Computer Science,96,37
70,Raymond,Shea,4,raymond.shea.70@gslingacademy.com,male,Computer Science,69,84
71,Jill,Perez,3,jill.perez.71@gslingacademy.com,female,Information Technology,63,89
72,Kimberly,Bonilla,1,kimberly.bonilla.72@gslingacademy.com,female,Information Technology,13,42
73,Louis,Edwards,2,louis.edwards.73@gslingacademy.com,male,Information Technology,65,82
74,Michael,Hodge,1,michael.hodge.74@gslingacademy.com,male,Computer Science,29,53
75,Anna,Li,4,anna.li.75@gslingacademy.com,female,Information Technology,2,73
76,Andrea,Case,3,andrea.case.76@gslingacademy.com,female,Information Technology,38,15
77,Jennifer,Garcia,2,jennifer.garcia.77@gslingacademy.com,female,Computer Science,63,26
78,Rhonda,Davenport,3,rhonda.davenport.78@gslingacademy.com,female,Information Technology,92,84
79,Chelsea,Craig,1,chelsea.craig.79@gslingacademy.com,female,Information Technology,7,8
80,Shawn,Chase,2,shawn.chase.80@gslingacademy.com,male,Computer Science,19,15
81,Elizabeth,Calhoun,3,elizabeth.calhoun.81@gslingacademy.com,female,Information Technology,33,94
82,Lisa,Harris,1,lisa.harris.82@gslingacademy.com,female,Information Technology,48,14
